material,model,date,which,soap_cosine_similarity,path,note
BaFeO3,deepseek,2025-07-15,earliest,0.99721667,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_28_30/BaFeO3,
BaFeO3,gpt-4o,2025-07-15,earliest,0.99711332,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-14_54_34/BaFeO3,
BaFeO3,Qwen,2025-07-16,earliest,0.99721039,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-13_14_02/BaFeO3,
BaFeO3,o4,2025-07-15,earliest,0.99722124,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-23_18_14/BaFeO3,
BaFeO3,gemini,2025-07-23,earliest,0.99906238,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_47_04/BaFeO3,
BaFeO3,claude,2025-07-16,earliest,0.99991028,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-16_24_09/BaFeO3,
BaTiO3,deepseek,2025-07-02,earliest,0.99999897,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_deepseek-v3-16_15_34/BaTiO3,
BaTiO3,deepseek,2025-07-15,latest,0.99831083,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_28_30/BaTiO3,
BaTiO3,gpt-4o,2025-07-02,earliest,0.99999826,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_gpt-4o-22_52_29/BaTiO3,
BaTiO3,gpt-4o,2025-07-15,latest,0.99836460,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-15_43_35/BaTiO3,
BaTiO3,Qwen,2025-07-03,earliest,0.99999929,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_Qwen/Qwen3-32B-06_52_48/BaTiO3,
BaTiO3,Qwen,2025-07-16,latest,0.99935289,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-13_14_02/BaTiO3,
BaTiO3,o4,2025-07-03,earliest,0.99999825,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_o4-mini-03_18_49/BaTiO3,
BaTiO3,o4,2025-07-15,latest,0.99999825,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-23_24_43/BaTiO3,
BaTiO3,gemini,2025-07-03,earliest,0.99999897,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_gemini-2.5-pro-exp-03-25-10_08_34/BaTiO3,
BaTiO3,gemini,2025-07-23,latest,0.99999900,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_59_58/BaTiO3,
BaTiO3,claude,2025-07-03,earliest,0.99999959,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_claude-3-7-sonnet-thinking-15_02_12/BaTiO3,
BaTiO3,claude,2025-07-16,latest,0.99999969,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-16_32_52/BaTiO3,
Bi2Te3,deepseek,2025-07-02,earliest,0.99992216,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_deepseek-v3-13_03_20/Bi2Te3,
Bi2Te3,deepseek,2025-07-15,latest,0.99996187,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_27_23/Bi2Te3,
Bi2Te3,gpt-4o,2025-07-02,earliest,0.99703928,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_gpt-4o-19_56_06/Bi2Te3,
Bi2Te3,gpt-4o,2025-07-15,latest,0.99995832,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-12_37_04/Bi2Te3,
Bi2Te3,Qwen,2025-07-03,earliest,0.99996567,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_Qwen/Qwen3-32B-05_19_03/Bi2Te3,
Bi2Te3,Qwen,2025-07-16,latest,0.99995536,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-02_53_29/Bi2Te3,
Bi2Te3,o4,2025-07-03,earliest,0.99995944,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_o4-mini-00_25_06/Bi2Te3,
Bi2Te3,o4,2025-07-15,latest,0.99994758,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-18_32_04/Bi2Te3,
Bi2Te3,gemini,2025-07-03,earliest,0.99915123,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_gemini-2.5-pro-exp-03-25-08_21_23/Bi2Te3,
Bi2Te3,gemini,2025-07-23,latest,0.99994937,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_16_40/Bi2Te3,
Bi2Te3,claude,2025-07-16,earliest,0.99995020,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-14_09_19/Bi2Te3,
BN,deepseek,2025-07-02,earliest,0.99999999,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_deepseek-v3-15_46_53/BN,
BN,deepseek,2025-07-15,latest,0.99999998,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_27_40/BN,
BN,gpt-4o,2025-07-02,earliest,0.99999983,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_gpt-4o-21_22_07/BN,
BN,gpt-4o,2025-07-15,latest,0.99999999,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-13_58_23/BN,
BN,Qwen,2025-07-03,earliest,0.99999998,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_Qwen/Qwen3-32B-06_25_19/BN,
BN,Qwen,2025-07-16,latest,0.99999999,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-13_11_57/BN,
BN,o4,2025-07-03,earliest,0.99999999,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_o4-mini-02_23_27/BN,
BN,o4,2025-07-15,latest,0.99999998,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-21_08_04/BN,
BN,gemini,2025-06-26,earliest,0.99425722,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_06_26/relax_gemini-2.5-pro-exp-03-25-21_10_04/BN,
BN,gemini,2025-07-23,latest,0.99999998,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_17_29/BN,
BN,claude,2025-07-03,earliest,0.99999999,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_claude-3-7-sonnet-thinking-14_52_43/BN,
BN,claude,2025-07-16,latest,1.00000000,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-14_58_19/BN,
CaCO3,deepseek,2025-07-02,earliest,0.99952249,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_deepseek-v3-12_59_25/CaCO3,
CaCO3,deepseek,2025-07-15,latest,0.99993101,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_25_30/CaCO3,
CaCO3,gpt-4o,2025-07-02,earliest,0.99996255,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_gpt-4o-19_54_13/CaCO3,
CaCO3,gpt-4o,2025-07-15,latest,0.99993094,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-11_28_36/CaCO3,
CaCO3,Qwen,2025-07-03,earliest,0.99994663,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_Qwen/Qwen3-32B-03_57_20/CaCO3,
CaCO3,Qwen,2025-07-16,latest,0.99996206,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-00_16_29/CaCO3,
CaCO3,o4,2025-07-02,earliest,0.99995786,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_o4-mini-23_43_18/CaCO3,
CaCO3,o4,2025-07-15,latest,0.99994737,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-17_06_04/CaCO3,
CaCO3,gemini,2025-06-26,earliest,0.99841991,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_06_26/relax_gemini-2.5-pro-exp-03-25-21_15_40/CaCO3,
CaCO3,gemini,2025-07-23,latest,0.99994870,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_15_31/CaCO3,
CaCO3,claude,2025-07-03,earliest,0.99996184,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_claude-3-7-sonnet-thinking-10_08_35/CaCO3,
CaCO3,claude,2025-07-16,latest,0.99994989,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-13_28_23/CaCO3,
CaF2,deepseek,2025-07-02,earliest,0.99999844,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_deepseek-v3-13_00_19/CaF2,
CaF2,deepseek,2025-07-15,latest,0.99999725,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_25_45/CaF2,
CaF2,gpt-4o,2025-07-02,earliest,0.99999754,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_gpt-4o-19_54_43/CaF2,
CaF2,gpt-4o,2025-07-15,latest,0.99999815,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-11_44_00/CaF2,
CaF2,Qwen,2025-07-03,earliest,0.99845411,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_Qwen/Qwen3-32B-04_19_12/CaF2,
CaF2,Qwen,2025-07-16,latest,0.99999893,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-01_54_21/CaF2,
CaF2,o4,2025-07-03,earliest,0.99999930,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_o4-mini-00_01_52/CaF2,
CaF2,o4,2025-07-15,latest,0.99999908,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-17_36_34/CaF2,
CaF2,gemini,2025-06-26,earliest,0.99636264,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_06_26/relax_gemini-2.5-pro-exp-03-25-21_05_10/CaF2,
CaF2,gemini,2025-07-23,latest,0.99999919,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_15_57/CaF2,
CaF2,claude,2025-07-03,earliest,0.99999850,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_claude-3-7-sonnet-thinking-10_11_24/CaF2,
CaF2,claude,2025-07-16,latest,0.99999860,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-13_28_44/CaF2,
CoSb3,deepseek,2025-07-02,earliest,0.99998640,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_deepseek-v3-14_10_34/CoSb3,
CoSb3,deepseek,2025-07-15,latest,0.99998760,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_27_35/CoSb3,
CoSb3,gpt-4o,2025-07-02,earliest,0.99998922,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_gpt-4o-20_39_49/CoSb3,
CoSb3,gpt-4o,2025-07-15,latest,0.99998916,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-13_13_49/CoSb3,
CoSb3,Qwen,2025-07-16,earliest,0.99999324,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-13_11_04/CoSb3,
CoSb3,o4,2025-07-03,earliest,0.99999273,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_o4-mini-01_37_43/CoSb3,
CoSb3,o4,2025-07-15,latest,0.99998448,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-20_29_55/CoSb3,
CoSb3,gemini,2025-07-03,earliest,0.99998844,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_gemini-2.5-pro-exp-03-25-08_57_52/CoSb3,
CoSb3,gemini,2025-07-23,latest,0.99998864,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_16_59/CoSb3,
CoSb3,claude,2025-07-16,earliest,0.99999148,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-14_30_02/CoSb3,
Cu,deepseek,2025-07-02,earliest,0.99999969,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_deepseek-v3-16_01_04/Cu,
Cu,deepseek,2025-07-15,latest,0.99999979,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_27_56/Cu,
Cu,gpt-4o,2025-07-02,earliest,0.99996212,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_gpt-4o-21_51_03/Cu,
Cu,gpt-4o,2025-07-15,latest,0.99999986,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-14_17_32/Cu,
Cu,Qwen,2025-07-03,earliest,0.99968557,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_Qwen/Qwen3-32B-06_38_19/Cu,
Cu,Qwen,2025-07-16,latest,0.99996223,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-13_12_29/Cu,
Cu,o4,2025-07-03,earliest,0.99999983,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_o4-mini-03_07_36/Cu,
Cu,o4,2025-07-15,latest,0.99999981,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-22_25_00/Cu,
Cu,gemini,2025-06-26,earliest,0.99993151,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_06_26/relax_gemini-2.5-pro-exp-03-25-20_36_49/Cu,
Cu,gemini,2025-07-23,latest,0.99999724,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_18_07/Cu,
Cu,claude,2025-07-16,earliest,0.99996342,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-15_54_39/Cu,
Fe,deepseek,2025-07-15,earliest,0.99813463,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_27_56/Fe,
Fe,gpt-4o,2025-07-02,earliest,0.99793486,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_gpt-4o-21_44_17/Fe,
Fe,gpt-4o,2025-07-15,latest,0.99813463,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-14_13_49/Fe,
Fe,Qwen,2025-07-16,earliest,0.99829656,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_Qwen/Qwen3-32B-13_12_02/Fe,
Fe,o4,2025-07-03,earliest,0.99771977,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_03/relax_o4-mini-02_36_48/Fe,
Fe,o4,2025-07-15,latest,0.99791723,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_o4-mini-22_25_00/Fe,
Fe,gemini,2025-07-23,earliest,0.99999852,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_23/relax_gemini-2.5-pro-thinking-00_18_07/Fe,
Fe,claude,2025-07-16,earliest,0.99800173,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_16/relax_claude-3-7-sonnet-thinking-15_34_38/Fe,
FeS2,deepseek,2025-07-02,earliest,0.99997654,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_02/relax_deepseek-v3-13_03_20/FeS2,
FeS2,deepseek,2025-07-15,latest,0.99999036,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_deepseek-v3-11_27_23/FeS2,
FeS2,gpt-4o,2025-07-15,earliest,0.99997209,/home/bingxing2/ailab/xiazeyu_p/Programs/vasp_benchmark/material_evaluator/runs/2025_07_15/relax_gpt-4o-12_22_37/FeS2,
